address,type,error_name
M60,Bool,Băng tải vào tầng trênbáo động kẹt liệu (Upper inlet conveyorconveyor jam alarm) - 上层入料流水线连料报警
M61,Bool,Băng tải vào tầng trênquá thời gian đến vị trí (Upper inlet conveyorarrival timeout) - 上层入料流水线到位超时
M62,Bool,Băng tải vào tầng trên出料到料异常báo động (Upper inlet conveyor出料到料异常alarm) - 上层入料流水线出料到料异常报警
M63,Bool,Băng tải ra tầng trênquá thời gian đến vị tríbáo động (Upper outlet conveyorarrival timeoutalarm) - 上层出料流水线到位超时报警
M64,Bool,Băng tải ra tầng trên出料异常báo động (Upper outlet conveyor出料异常alarm) - 上层出料流水线出料异常报警
M66,Bool,Băng tải tầng dướibáo động kẹt liệu (Lower conveyorconveyor jam alarm) - 下层流水线连料报警
M67,Bool,Băng tải tầng dướiquá thời gian đến liệubáo động (Lower conveyorarrival timeoutalarm) - 下层流水线到料超时报警
M70,Bool,Robot trướctua vít điệnbáo động (Front robotscrewdriveralarm) - 前机器人电批报警
M71,Bool,Tua vít điện cổng trụcbáo động (Gantry screwdriveralarm) - 龙门电批报警
M72,Bool,Robot sautua vít điệnbáo động (Rear robotscrewdriveralarm) - 后机器人电批报警
M75,Bool,Băng tải tầng dưới出料异常báo động (Lower conveyor出料异常alarm) - 下层流水线出料异常报警
M77,Bool,Robot trước长螺丝hết liệubáo động (Front robot长螺丝emptyalarm) - 前机器人长螺丝无料报警
M78,Bool,Robot trước短螺丝hết liệubáo động (Front robot短螺丝emptyalarm) - 前机器人短螺丝无料报警
M79,Bool,Robot trước长螺丝chưa được lấy đibáo động (Front robot长螺丝not removedalarm) - 前机器人长螺丝未取走报警
M80,Bool,Robot trước短螺丝chưa được lấy đibáo động (Front robot短螺丝not removedalarm) - 前机器人短螺丝未取走报警
M81,Bool,龙门cấp ốc víthết liệubáo động (龙门screw feedingemptyalarm) - 龙门螺丝供料无料报警
M87,Bool,Robot sau长螺丝hết liệubáo động (Rear robot长螺丝emptyalarm) - 后机器人长螺丝无料报警
M88,Bool,Robot sau短螺丝hết liệubáo động (Rear robot短螺丝emptyalarm) - 后机器人短螺丝无料报警
M89,Bool,Robot sau长螺丝chưa được lấy đibáo động (Rear robot长螺丝not removedalarm) - 后机器人长螺丝未取走报警
M90,Bool,Robot sau短螺丝chưa được lấy đibáo động (Rear robot短螺丝not removedalarm) - 后机器人短螺丝未取走报警
M100,Bool,Robot trước组装真空_đang chạy thủ công (Front robot组装真空_manual running) - 前机器人组装真空_手动中
